epoch,lr,stage,train_loss,train_loss_cls,train_loss_reg,train_accuracy,train_precision,train_sensitivity,train_specificity,train_f1,train_auc,train_age_mae,train_age_pearson,val_loss,val_loss_cls,val_loss_reg,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,val_auc,val_age_mae,val_age_pearson,val_threshold
1,0.001,frozen,0.1132504791021347,0.09378542751073837,0.38930103182792664,0.375,0.5999999988,0.49999999916666665,0.0,0.5454545395041324,0.16666666666666666,8.06769839685038,-0.0649843720844485,0.0786060094833374,0.06073787063360214,0.3573627769947052,0.875,0.8749999989062499,0.9999999985714286,0.0,0.933333327111111,0.0,7.653635187709124,-0.1431475613662328,0.05
1,0.001,frozen,0.09655095441649629,0.07880611523143845,0.3548967758040518,0.5702054794520548,0.7319422150824082,0.5764854614375696,0.5570291777114452,0.644978778658665,0.5888724107750656,7.966941484074409,0.24645379332710055,0.08507526494904669,0.06925356555395498,0.3164339748447289,0.6447105788423154,0.8454935621954723,0.5811209439356602,0.7777777777297668,0.6888111839588124,0.7168960996394624,7.468286833255111,0.42766881668309253,0.4800000000000001
2,0.0009046039886902864,frozen,0.08877905511794841,0.07213372549628966,0.33290659129134803,0.615582191780822,0.7758064516066467,0.6080910240163838,0.631299734739638,0.6817859624676119,0.6652593668156683,7.711482066442508,0.33150843314293577,0.08594745425823444,0.07036887105561777,0.3115716621190488,0.6147704590818364,0.8318181817803719,0.5398230088336335,0.7716049382239749,0.6547406034321448,0.6969754907316361,7.410835948704081,0.4322755933102642,0.4700000000000001
3,0.0006548539886902863,frozen,0.08752191339759793,0.07129646435839264,0.32450897415002733,0.6194349315068494,0.7709147771636364,0.6232616940542146,0.6114058355356577,0.6892694812449018,0.6742342567411228,7.594078887774745,0.37272053091795715,0.08752937079546694,0.07165345927317461,0.31751823139761737,0.592814371257485,0.8648648648181154,0.4719764011660184,0.8456790122934765,0.6106870183093207,0.700389671874431,7.624471787241963,0.4308693076356733,0.4800000000000001
4,0.0003461460113097138,frozen,0.08494594913894592,0.06936875531730587,0.31154387338367634,0.6399828767123288,0.7993527508025943,0.6249209361124294,0.6715231787990527,0.7014554441292983,0.7075465691510527,7.384688407529141,0.4097452777605383,0.08457716377433426,0.06869594675457168,0.31762433236468574,0.5788423153692615,0.8855421686213528,0.43362831857127937,0.8827160493282273,0.5821782133855112,0.6975672821297207,7.5699856651256825,0.437837909677228,0.5300000000000001
5,9.639601130971379e-05,frozen,0.0836958435734045,0.06856323881967835,0.30265209039239444,0.6404109589041096,0.7979149959839783,0.628553379654905,0.6653386454094908,0.7031802070796465,0.7102170387726834,7.2175622783568025,0.44064764858610533,0.08444709109956633,0.0689861710348767,0.3092183988846229,0.6087824351297405,0.8592964823688796,0.5044247787461822,0.8271604937761011,0.6356877276569562,0.6996977311628245,7.4454249742157375,0.44389484373811855,0.5000000000000001
6,0.0001,unfrozen,0.08422831629645335,0.06853998809644621,0.3137665591266465,0.6451198630136986,0.8061889250748683,0.6261859582503088,0.68476821191146,0.704877175565221,0.7154202847556456,7.416792429315274,0.39885819945393286,0.0864129904025567,0.07120497267462775,0.3041603433752726,0.6087824351297405,0.8666666666222221,0.4985250737316069,0.8395061727876848,0.6329587968380115,0.7059616154994718,7.38377992662543,0.4631187226563597,0.4700000000000001
7,9.980072755276435e-05,unfrozen,0.07954115300656181,0.06472571218411809,0.29630881265341624,0.6686643835616438,0.8376569037586807,0.6331435800086456,0.7430463576060523,0.7211815512874428,0.7623379452186771,7.137083186343286,0.47818193930436387,0.07928177503173699,0.06493225181382335,0.2869904627521595,0.6606786427145709,0.8658008657633852,0.5899705014575229,0.8086419752587257,0.7017543811197907,0.7383826796314504,7.11815006180086,0.5076249634607722,0.5000000000000001
8,9.920451463563217e-05,unfrozen,0.07621568442666776,0.0617198805350249,0.28991606959129035,0.704195205479452,0.8459143968805766,0.6879746835399496,0.738095238085475,0.7588132585730193,0.7954360893443172,7.069839662679566,0.504199838328202,0.07995146855027851,0.06579559491185133,0.2831174695265745,0.6866267465069861,0.8527131782615227,0.6489675516032752,0.7654320987181832,0.737018420527989,0.7556629884555155,7.0411263019355985,0.5192505203569412,0.45000000000000007
9,9.821616160444475e-05,unfrozen,0.07137011797869042,0.057284278750470645,0.28171678018845514,0.7444349315068494,0.8916334661283536,0.7082278480967834,0.8201058200949721,0.7894179844781303,0.8436754905900475,6.956106901421055,0.5151810460296794,0.08192246956025769,0.06778949889504982,0.2826594060171626,0.6906187624750499,0.8006535947450767,0.7227138642854657,0.6234567900849718,0.7596899174701521,0.7377726792672712,7.0252069620011515,0.5101028962537447,0.49000000000000005
