epoch,lr,stage,train_loss,train_loss_cls,train_loss_reg,train_accuracy,train_precision,train_sensitivity,train_specificity,train_f1,train_auc,train_age_mae,train_age_pearson,val_loss,val_loss_cls,val_loss_reg,val_accuracy,val_precision,val_sensitivity,val_specificity,val_f1,val_auc,val_age_mae,val_age_pearson,val_threshold
1,0.001,frozen,0.08640925586223602,0.061302583664655685,0.5021334886550903,0.75,0.7999999984,0.7999999984,0.6666666644444444,0.7999999934,0.8666666666666667,10.639023007375187,0.0024106035955978383,0.06276486814022064,0.04713872820138931,0.31252285838127136,0.875,0.9999999983333333,0.8571428559183674,0.9999999900000002,0.9230769166863906,0.8571428571428571,6.543129918080165,0.2531788500812531,0.5100000000000001
1,0.001,frozen,0.09856279084637556,0.08093610804360352,0.35253365576420337,0.5702054794520548,0.7257812499943299,0.5872313527143664,0.5344827586136011,0.6491963612286347,0.6062353499414835,7.962797078972532,0.2696490021015859,0.09296038480635413,0.0769864517801298,0.3194786570743173,0.6327345309381237,0.8475336322489895,0.5575221238773592,0.7901234567413503,0.6725978599577641,0.705078480643869,7.487421288030603,0.4138055813467466,0.43000000000000005
2,0.0009046039886902864,frozen,0.08753893111054212,0.07105518855817922,0.3296748465054656,0.620291095890411,0.7899581589892054,0.5974683544265983,0.6679894179805821,0.6803603554516992,0.6818268200388453,7.697003146577226,0.35196995367527817,0.09311731872771553,0.07710580069370969,0.3202303554602488,0.6207584830339321,0.8634146341042236,0.5221238937899079,0.8271604937761011,0.6507352893970995,0.7127353508867768,7.664236803154056,0.43961822436341663,0.6000000000000002
3,0.0006548539886902863,frozen,0.08609127274982326,0.07027043791309204,0.31641669145287715,0.627568493150685,0.7916324856374765,0.6103731815268162,0.6635761589316083,0.689285709364365,0.6896272373508258,7.4846843835786085,0.3979391944130287,0.08380470123000726,0.06823058131926074,0.3114823892920793,0.5968063872255489,0.8784530386254998,0.4690265486587308,0.8641975308108519,0.6115384569765533,0.7099493790742561,7.503410118297766,0.45487881401667657,0.5300000000000001
4,0.0003461460113097138,frozen,0.08395884845609942,0.06866644585683737,0.3058480431312976,0.6412671232876712,0.7963258785878888,0.6310126582238544,0.6626984126896468,0.7040960402598382,0.7122534491996517,7.324293786795267,0.4316867220564122,0.0841084454885262,0.06905996600935559,0.30096958360510195,0.5988023952095808,0.8876404493883348,0.46607669615144315,0.8765432098224356,0.6112185641266196,0.7123984850140208,7.263903100640444,0.4684806267950704,0.5000000000000001
5,9.639601130971379e-05,frozen,0.081941036124752,0.06679539855773726,0.30291274257565604,0.665667808219178,0.8162460567758972,0.6538218572289715,0.6905710491276152,0.726061026273061,0.7413991119120067,7.298493967589392,0.44114382656744294,0.0832159508934278,0.06826745703846157,0.2989698704369292,0.6327345309381237,0.8571428571033575,0.5486725663554963,0.8086419752587257,0.6690647434181072,0.7130266943442951,7.270623828337376,0.4720985320073558,0.5300000000000001
6,0.0001,unfrozen,0.09024324352942305,0.07295047686345978,0.3458553276739198,0.6117294520547946,0.7954545454475923,0.5748578648100136,0.6892430278792929,0.66740006846535,0.6693801756545097,7.895679756113902,0.28817844749421256,0.0832215084540035,0.06701179693440001,0.3241942229861033,0.6447105788423154,0.8546255506231443,0.5722713864137973,0.7962962962471422,0.6855123626627253,0.7409228304016899,7.538932221027157,0.45084729626606124,0.5500000000000002
7,9.980072755276435e-05,unfrozen,0.08195975373103602,0.0660364967643296,0.31846513233007223,0.6746575342465754,0.8314516128965206,0.6517067003751473,0.7228116710779467,0.7306874507734312,0.7534087060330575,7.501459644137255,0.3875999695351042,0.08190655781182939,0.06572566834276546,0.32361778414653924,0.718562874251497,0.8413793103158145,0.7197640117781781,0.7160493826718488,0.7758346531932738,0.7683455333406168,7.503440586373521,0.4544470149046632,0.42000000000000004
8,9.920451463563217e-05,unfrozen,0.07881605366806257,0.06337578421815822,0.30880538489006154,0.6887842465753424,0.8595458368304496,0.6460176991109607,0.7785145888490913,0.7376398363078078,0.7794254494361299,7.391406990264181,0.42987356340976274,0.07649665315470058,0.06200624639521578,0.289808129538557,0.6726546906187625,0.9107981220229672,0.5722713864137973,0.8827160493282273,0.7028985459596855,0.7879383808587348,7.15791082782924,0.49664990695091454,0.5600000000000002
9,9.821616160444475e-05,unfrozen,0.07723174882057594,0.06230553580537336,0.2985242570125281,0.7054794520547946,0.8626016260092472,0.671518987337522,0.7764550264447558,0.7551601374209498,0.7936616770477529,7.221157190573515,0.4754467632893066,0.07283216873239615,0.058472252567995806,0.28719831637279714,0.6606786427145709,0.9567567567050401,0.5221238937899079,0.9506172838919371,0.6755725144900502,0.7951400269492697,7.1122968690017485,0.5212930660772104,0.5500000000000002
